id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pendidikan,satuan,tahun
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,61.61,POIN,2011
52,32,JAWA BARAT,3279,KOTA BANJAR,58.42,POIN,2011
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,54.53,POIN,2012
54,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,50.88,POIN,2012
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50.81,POIN,2012
56,32,JAWA BARAT,3204,KABUPATEN BANDUNG,58.47,POIN,2012
57,32,JAWA BARAT,3205,KABUPATEN GARUT,52.63,POIN,2012
58,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,55.16,POIN,2012
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,59.55,POIN,2012
60,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,54.76,POIN,2012
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,51.12,POIN,2012
62,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,53.12,POIN,2012
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,58.22,POIN,2012
64,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,47.84,POIN,2012
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,51.54,POIN,2012
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,53.33,POIN,2012
67,32,JAWA BARAT,3215,KABUPATEN KARAWANG,52.52,POIN,2012
68,32,JAWA BARAT,3216,KABUPATEN BEKASI,58.21,POIN,2012
69,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,53.76,POIN,2012
70,32,JAWA BARAT,3271,KOTA BOGOR,65.28,POIN,2012
71,32,JAWA BARAT,3272,KOTA SUKABUMI,62.27,POIN,2012
72,32,JAWA BARAT,3273,KOTA BANDUNG,70.75,POIN,2012
73,32,JAWA BARAT,3274,KOTA CIREBON,65.79,POIN,2012
74,32,JAWA BARAT,3275,KOTA BEKASI,69.41,POIN,2012
75,32,JAWA BARAT,3276,KOTA DEPOK,69.04,POIN,2012
76,32,JAWA BARAT,3277,KOTA CIMAHI,71.55,POIN,2012
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,62.96,POIN,2012
78,32,JAWA BARAT,3279,KOTA BANJAR,59.04,POIN,2012
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,57.11,POIN,2013
80,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,53.87,POIN,2013
81,32,JAWA BARAT,3203,KABUPATEN CIANJUR,53.73,POIN,2013
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,59.22,POIN,2013
83,32,JAWA BARAT,3205,KABUPATEN GARUT,53.67,POIN,2013
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,56.42,POIN,2013
85,32,JAWA BARAT,3207,KABUPATEN CIAMIS,61.4,POIN,2013
