id,kode_provinsi,nama_provinsi,nama_stasiun,penumpang_naik_kereta,penumpang_turun_kereta,satuan,tahun
1,32,JAWA BARAT,BEKASI,461197,626845,ORANG,2022
2,32,JAWA BARAT,CIKARANG,335566,337430,ORANG,2022
3,32,JAWA BARAT,CIKAMPEK,145499,116867,ORANG,2022
4,32,JAWA BARAT,KARAWANG,125070,97745,ORANG,2022
5,32,JAWA BARAT,BEKASI,855945,922547,ORANG,2023
6,32,JAWA BARAT,CIKARANG,355075,311223,ORANG,2023
7,32,JAWA BARAT,CIKAMPEK,137079,137549,ORANG,2023
8,32,JAWA BARAT,KARAWANG,107343,100770,ORANG,2023
