id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pdrb_adhb_per_kapita,satuan,tahun
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,71580,RIBU RUPIAH,2019
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,98626,RIBU RUPIAH,2019
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,88370,RIBU RUPIAH,2019
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,28209,RIBU RUPIAH,2019
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28206,RIBU RUPIAH,2019
73,32,JAWA BARAT,3271,KOTA BOGOR,42403,RIBU RUPIAH,2019
74,32,JAWA BARAT,3272,KOTA SUKABUMI,37928,RIBU RUPIAH,2019
75,32,JAWA BARAT,3273,KOTA BANDUNG,113177,RIBU RUPIAH,2019
76,32,JAWA BARAT,3274,KOTA CIREBON,74398,RIBU RUPIAH,2019
77,32,JAWA BARAT,3275,KOTA BEKASI,33330,RIBU RUPIAH,2019
78,32,JAWA BARAT,3276,KOTA DEPOK,30079,RIBU RUPIAH,2019
79,32,JAWA BARAT,3277,KOTA CIMAHI,54268,RIBU RUPIAH,2019
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,32213,RIBU RUPIAH,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,23508,RIBU RUPIAH,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,43586,RIBU RUPIAH,2020
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24836,RIBU RUPIAH,2020
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,19241,RIBU RUPIAH,2020
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,34206,RIBU RUPIAH,2020
86,32,JAWA BARAT,3205,KABUPATEN GARUT,22480,RIBU RUPIAH,2020
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20120,RIBU RUPIAH,2020
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,26048,RIBU RUPIAH,2020
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,21996,RIBU RUPIAH,2020
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,21869,RIBU RUPIAH,2020
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,24708,RIBU RUPIAH,2020
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,30821,RIBU RUPIAH,2020
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,43308,RIBU RUPIAH,2020
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,25209,RIBU RUPIAH,2020
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67349,RIBU RUPIAH,2020
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,91873,RIBU RUPIAH,2020
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,102419,RIBU RUPIAH,2020
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,26088,RIBU RUPIAH,2020
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,27195,RIBU RUPIAH,2020
100,32,JAWA BARAT,3271,KOTA BOGOR,44100,RIBU RUPIAH,2020
101,32,JAWA BARAT,3272,KOTA SUKABUMI,35926,RIBU RUPIAH,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,116056,RIBU RUPIAH,2020
103,32,JAWA BARAT,3274,KOTA CIREBON,70468,RIBU RUPIAH,2020
104,32,JAWA BARAT,3275,KOTA BEKASI,37999,RIBU RUPIAH,2020
105,32,JAWA BARAT,3276,KOTA DEPOK,34358,RIBU RUPIAH,2020
106,32,JAWA BARAT,3277,KOTA CIMAHI,56715,RIBU RUPIAH,2020
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,30223,RIBU RUPIAH,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,22184,RIBU RUPIAH,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,45339,RIBU RUPIAH,2021
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25616,RIBU RUPIAH,2021
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20002,RIBU RUPIAH,2021
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,35590,RIBU RUPIAH,2021
113,32,JAWA BARAT,3205,KABUPATEN GARUT,23356,RIBU RUPIAH,2021
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20855,RIBU RUPIAH,2021
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,27218,RIBU RUPIAH,2021
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,22805,RIBU RUPIAH,2021
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,22833,RIBU RUPIAH,2021
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25930,RIBU RUPIAH,2021
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,32130,RIBU RUPIAH,2021
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,44072,RIBU RUPIAH,2021
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,26292,RIBU RUPIAH,2021
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,69976,RIBU RUPIAH,2021
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,98726,RIBU RUPIAH,2021
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,107788,RIBU RUPIAH,2021
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,26879,RIBU RUPIAH,2021
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28366,RIBU RUPIAH,2021
127,32,JAWA BARAT,3271,KOTA BOGOR,45921,RIBU RUPIAH,2021
128,32,JAWA BARAT,3272,KOTA SUKABUMI,37209,RIBU RUPIAH,2021
129,32,JAWA BARAT,3273,KOTA BANDUNG,121126,RIBU RUPIAH,2021
130,32,JAWA BARAT,3274,KOTA CIREBON,72749,RIBU RUPIAH,2021
131,32,JAWA BARAT,3275,KOTA BEKASI,39527,RIBU RUPIAH,2021
132,32,JAWA BARAT,3276,KOTA DEPOK,35659,RIBU RUPIAH,2021
133,32,JAWA BARAT,3277,KOTA CIMAHI,59906,RIBU RUPIAH,2021
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,31556,RIBU RUPIAH,2021
135,32,JAWA BARAT,3279,KOTA BANJAR,22892,RIBU RUPIAH,2021
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,48096,RIBU RUPIAH,2022
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,27165,RIBU RUPIAH,2022
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,21232,RIBU RUPIAH,2022
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,38455,RIBU RUPIAH,2022
140,32,JAWA BARAT,3205,KABUPATEN GARUT,25346,RIBU RUPIAH,2022
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,22378,RIBU RUPIAH,2022
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,29472,RIBU RUPIAH,2022
