id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pdrb_adhb,satuan,tahun
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,156319,MILIAR RUPIAH,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,227590,MILIAR RUPIAH,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,30680,MILIAR RUPIAH,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7276,MILIAR RUPIAH,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,29147,MILIAR RUPIAH,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,8141,MILIAR RUPIAH,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,172698,MILIAR RUPIAH,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,15038,MILIAR RUPIAH,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,64109,MILIAR RUPIAH,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,43806,MILIAR RUPIAH,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,20569,MILIAR RUPIAH,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13624,MILIAR RUPIAH,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,3011,MILIAR RUPIAH,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,168081,MILIAR RUPIAH,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46939,MILIAR RUPIAH,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,32350,MILIAR RUPIAH,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,85620,MILIAR RUPIAH,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,40665,MILIAR RUPIAH,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25666,MILIAR RUPIAH,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,22588,MILIAR RUPIAH,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16987,MILIAR RUPIAH,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,35735,MILIAR RUPIAH,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,21293,MILIAR RUPIAH,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,24832,MILIAR RUPIAH,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,65378,MILIAR RUPIAH,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,29308,MILIAR RUPIAH,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,50117,MILIAR RUPIAH,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,167116,MILIAR RUPIAH,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,246003,MILIAR RUPIAH,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,33992,MILIAR RUPIAH,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8016,MILIAR RUPIAH,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,32365,MILIAR RUPIAH,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,8971,MILIAR RUPIAH,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,195774,MILIAR RUPIAH,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,16704,MILIAR RUPIAH,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,70765,MILIAR RUPIAH,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,48533,MILIAR RUPIAH,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,22647,MILIAR RUPIAH,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15237,MILIAR RUPIAH,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,3330,MILIAR RUPIAH,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,184601,MILIAR RUPIAH,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51133,MILIAR RUPIAH,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,35383,MILIAR RUPIAH,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,94567,MILIAR RUPIAH,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,44452,MILIAR RUPIAH,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,27996,MILIAR RUPIAH,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,24524,MILIAR RUPIAH,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18563,MILIAR RUPIAH,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,38847,MILIAR RUPIAH,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23207,MILIAR RUPIAH,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,27008,MILIAR RUPIAH,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66442,MILIAR RUPIAH,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,31490,MILIAR RUPIAH,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,54576,MILIAR RUPIAH,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,182503,MILIAR RUPIAH,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,262311,MILIAR RUPIAH,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,37044,MILIAR RUPIAH,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8684,MILIAR RUPIAH,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,35401,MILIAR RUPIAH,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,9719,MILIAR RUPIAH,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,216864,MILIAR RUPIAH,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,18123,MILIAR RUPIAH,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,76909,MILIAR RUPIAH,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,53331,MILIAR RUPIAH,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,24563,MILIAR RUPIAH,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16751,MILIAR RUPIAH,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,3609,MILIAR RUPIAH,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,201387,MILIAR RUPIAH,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55283,MILIAR RUPIAH,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38550,MILIAR RUPIAH,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,103363,MILIAR RUPIAH,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,47993,MILIAR RUPIAH,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30522,MILIAR RUPIAH,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,26544,MILIAR RUPIAH,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20447,MILIAR RUPIAH,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,41948,MILIAR RUPIAH,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25419,MILIAR RUPIAH,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,29639,MILIAR RUPIAH,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,69824,MILIAR RUPIAH,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,34167,MILIAR RUPIAH,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,58522,MILIAR RUPIAH,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,197057,MILIAR RUPIAH,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,282469,MILIAR RUPIAH,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,40222,MILIAR RUPIAH,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9401,MILIAR RUPIAH,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,38506,MILIAR RUPIAH,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,10556,MILIAR RUPIAH,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,240110,MILIAR RUPIAH,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,19740,MILIAR RUPIAH,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,83328,MILIAR RUPIAH,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,58344,MILIAR RUPIAH,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,26534,MILIAR RUPIAH,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,18318,MILIAR RUPIAH,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,3909,MILIAR RUPIAH,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,219240,MILIAR RUPIAH,2018
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,61615,MILIAR RUPIAH,2018
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42971,MILIAR RUPIAH,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,112982,MILIAR RUPIAH,2018
140,32,JAWA BARAT,3205,KABUPATEN GARUT,53036,MILIAR RUPIAH,2018
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,34024,MILIAR RUPIAH,2018
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,29090,MILIAR RUPIAH,2018
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,22764,MILIAR RUPIAH,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,45499,MILIAR RUPIAH,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,28098,MILIAR RUPIAH,2018
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,32533,MILIAR RUPIAH,2018
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,74920,MILIAR RUPIAH,2018
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,37520,MILIAR RUPIAH,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,63117,MILIAR RUPIAH,2018
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,215547,MILIAR RUPIAH,2018
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,305560,MILIAR RUPIAH,2018
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,43808,MILIAR RUPIAH,2018
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10352,MILIAR RUPIAH,2018
154,32,JAWA BARAT,3271,KOTA BOGOR,42261,MILIAR RUPIAH,2018
155,32,JAWA BARAT,3272,KOTA SUKABUMI,11473,MILIAR RUPIAH,2018
156,32,JAWA BARAT,3273,KOTA BANDUNG,264393,MILIAR RUPIAH,2018
157,32,JAWA BARAT,3274,KOTA CIREBON,21639,MILIAR RUPIAH,2018
158,32,JAWA BARAT,3275,KOTA BEKASI,90981,MILIAR RUPIAH,2018
159,32,JAWA BARAT,3276,KOTA DEPOK,64363,MILIAR RUPIAH,2018
160,32,JAWA BARAT,3277,KOTA CIMAHI,29240,MILIAR RUPIAH,2018
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,19978,MILIAR RUPIAH,2018
162,32,JAWA BARAT,3279,KOTA BANJAR,4107,MILIAR RUPIAH,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,237200,MILIAR RUPIAH,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,67426,MILIAR RUPIAH,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,46956,MILIAR RUPIAH,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,123486,MILIAR RUPIAH,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,57875,MILIAR RUPIAH,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,37310,MILIAR RUPIAH,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,31536,MILIAR RUPIAH,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25093,MILIAR RUPIAH,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,49136,MILIAR RUPIAH,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,31202,MILIAR RUPIAH,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35440,MILIAR RUPIAH,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,80390,MILIAR RUPIAH,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,40281,MILIAR RUPIAH,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67742,MILIAR RUPIAH,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,230021,MILIAR RUPIAH,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,326284,MILIAR RUPIAH,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,47180,MILIAR RUPIAH,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11312,MILIAR RUPIAH,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,46223,MILIAR RUPIAH,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,12384,MILIAR RUPIAH,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,288461,MILIAR RUPIAH,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,23504,MILIAR RUPIAH,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,98130,MILIAR RUPIAH,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,70996,MILIAR RUPIAH,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,32640,MILIAR RUPIAH,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21751,MILIAR RUPIAH,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,4378,MILIAR RUPIAH,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,236147,MILIAR RUPIAH,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,67392,MILIAR RUPIAH,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,47523,MILIAR RUPIAH,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,123049,MILIAR RUPIAH,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,58043,MILIAR RUPIAH,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,37446,MILIAR RUPIAH,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,31974,MILIAR RUPIAH,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25618,MILIAR RUPIAH,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,49561,MILIAR RUPIAH,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,32055,MILIAR RUPIAH,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35491,MILIAR RUPIAH,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,79286,MILIAR RUPIAH,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,39595,MILIAR RUPIAH,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67176,MILIAR RUPIAH,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,225064,MILIAR RUPIAH,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,317943,MILIAR RUPIAH,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,46479,MILIAR RUPIAH,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11498,MILIAR RUPIAH,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,45940,MILIAR RUPIAH,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,12402,MILIAR RUPIAH,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,283617,MILIAR RUPIAH,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,23440,MILIAR RUPIAH,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,96569,MILIAR RUPIAH,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,70391,MILIAR RUPIAH,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,32211,MILIAR RUPIAH,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21589,MILIAR RUPIAH,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,4461,MILIAR RUPIAH,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,248892,MILIAR RUPIAH,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70738,MILIAR RUPIAH,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50138,MILIAR RUPIAH,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,130477,MILIAR RUPIAH,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,60836,MILIAR RUPIAH,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,39286,MILIAR RUPIAH,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,33688,MILIAR RUPIAH,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,26919,MILIAR RUPIAH,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,52310,MILIAR RUPIAH,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,34201,MILIAR RUPIAH,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,37250,MILIAR RUPIAH,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,81595,MILIAR RUPIAH,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,42293,MILIAR RUPIAH,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70778,MILIAR RUPIAH,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,243713,MILIAR RUPIAH,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,340390,MILIAR RUPIAH,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,48764,MILIAR RUPIAH,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12130,MILIAR RUPIAH,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,48326,MILIAR RUPIAH,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,13053,MILIAR RUPIAH,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,297116,MILIAR RUPIAH,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,24507,MILIAR RUPIAH,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,101383,MILIAR RUPIAH,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,74382,MILIAR RUPIAH,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,34244,MILIAR RUPIAH,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,22844,MILIAR RUPIAH,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,4657,MILIAR RUPIAH,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,267744,MILIAR RUPIAH,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,76244,MILIAR RUPIAH,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,53989,MILIAR RUPIAH,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,143002,MILIAR RUPIAH,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,66591,MILIAR RUPIAH,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,42660,MILIAR RUPIAH,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,36774,MILIAR RUPIAH,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,29520,MILIAR RUPIAH,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,56654,MILIAR RUPIAH,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,37779,MILIAR RUPIAH,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,40221,MILIAR RUPIAH,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,90773,MILIAR RUPIAH,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,46110,MILIAR RUPIAH,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,76469,MILIAR RUPIAH,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,268229,MILIAR RUPIAH,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,367573,MILIAR RUPIAH,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,52921,MILIAR RUPIAH,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,13164,MILIAR RUPIAH,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,52915,MILIAR RUPIAH,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,14192,MILIAR RUPIAH,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,328318,MILIAR RUPIAH,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,26618,MILIAR RUPIAH,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,109881,MILIAR RUPIAH,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,81167,MILIAR RUPIAH,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,37538,MILIAR RUPIAH,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,24975,MILIAR RUPIAH,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,4916,MILIAR RUPIAH,2022
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,289106,MILIAR RUPIAH,2023
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,82317,MILIAR RUPIAH,2023
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,58391,MILIAR RUPIAH,2023
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,153951,MILIAR RUPIAH,2023
275,32,JAWA BARAT,3205,KABUPATEN GARUT,72229,MILIAR RUPIAH,2023
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,46098,MILIAR RUPIAH,2023
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,39841,MILIAR RUPIAH,2023
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,32545,MILIAR RUPIAH,2023
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,61310,MILIAR RUPIAH,2023
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,41713,MILIAR RUPIAH,2023
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,43327,MILIAR RUPIAH,2023
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,103560,MILIAR RUPIAH,2023
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,49692,MILIAR RUPIAH,2023
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,82129,MILIAR RUPIAH,2023
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,290916,MILIAR RUPIAH,2023
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,393823,MILIAR RUPIAH,2023
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,56945,MILIAR RUPIAH,2023
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,14256,MILIAR RUPIAH,2023
